2025-07-01 09:59:43 install gpgsm:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:43 status half-installed gpgsm:arm64 2.2.40-1.1
2025-07-01 09:59:43 status unpacked gpgsm:arm64 2.2.40-1.1
2025-07-01 09:59:43 install gnupg:all <none> 2.2.40-1.1
2025-07-01 09:59:43 status half-installed gnupg:all 2.2.40-1.1
2025-07-01 09:59:43 status unpacked gnupg:all 2.2.40-1.1
2025-07-01 09:59:43 install libbluetooth3:arm64 <none> 5.66-1+deb12u2
2025-07-01 09:59:43 status half-installed libbluetooth3:arm64 5.66-1+deb12u2
2025-07-01 09:59:43 status unpacked libbluetooth3:arm64 5.66-1+deb12u2
2025-07-01 09:59:43 install libc-dev-bin:arm64 <none> 2.36-9+deb12u10
2025-07-01 09:59:43 status half-installed libc-dev-bin:arm64 2.36-9+deb12u10
2025-07-01 09:59:43 status unpacked libc-dev-bin:arm64 2.36-9+deb12u10
2025-07-01 09:59:43 install linux-libc-dev:arm64 <none> 6.1.140-1
2025-07-01 09:59:43 status half-installed linux-libc-dev:arm64 6.1.140-1
2025-07-01 09:59:44 status unpacked linux-libc-dev:arm64 6.1.140-1
2025-07-01 09:59:44 install libcrypt-dev:arm64 <none> 1:4.4.33-2
2025-07-01 09:59:44 status half-installed libcrypt-dev:arm64 1:4.4.33-2
2025-07-01 09:59:44 status unpacked libcrypt-dev:arm64 1:4.4.33-2
2025-07-01 09:59:44 install libkrb5support0:arm64 <none> 1.20.1-2+deb12u3
2025-07-01 09:59:44 status half-installed libkrb5support0:arm64 1.20.1-2+deb12u3
2025-07-01 09:59:44 status unpacked libkrb5support0:arm64 1.20.1-2+deb12u3
2025-07-01 09:59:44 install libk5crypto3:arm64 <none> 1.20.1-2+deb12u3
2025-07-01 09:59:44 status half-installed libk5crypto3:arm64 1.20.1-2+deb12u3
2025-07-01 09:59:44 status unpacked libk5crypto3:arm64 1.20.1-2+deb12u3
2025-07-01 09:59:44 install libkeyutils1:arm64 <none> 1.6.3-2
2025-07-01 09:59:44 status half-installed libkeyutils1:arm64 1.6.3-2
2025-07-01 09:59:44 status unpacked libkeyutils1:arm64 1.6.3-2
2025-07-01 09:59:44 install libkrb5-3:arm64 <none> 1.20.1-2+deb12u3
2025-07-01 09:59:44 status half-installed libkrb5-3:arm64 1.20.1-2+deb12u3
2025-07-01 09:59:44 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u3
2025-07-01 09:59:44 install libgssapi-krb5-2:arm64 <none> 1.20.1-2+deb12u3
2025-07-01 09:59:44 status half-installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u3
2025-07-01 09:59:44 status unpacked libgssapi-krb5-2:arm64 1.20.1-2+deb12u3
2025-07-01 09:59:44 install libtirpc-common:all <none> 1.3.3+ds-1
2025-07-01 09:59:44 status half-installed libtirpc-common:all 1.3.3+ds-1
2025-07-01 09:59:44 status unpacked libtirpc-common:all 1.3.3+ds-1
2025-07-01 09:59:44 install libtirpc3:arm64 <none> 1.3.3+ds-1
2025-07-01 09:59:44 status half-installed libtirpc3:arm64 1.3.3+ds-1
2025-07-01 09:59:44 status unpacked libtirpc3:arm64 1.3.3+ds-1
2025-07-01 09:59:44 install libnsl2:arm64 <none> 1.3.0-2
2025-07-01 09:59:44 status half-installed libnsl2:arm64 1.3.0-2
